epiweek,end_date,region,fips,covid_hospitalizations,flu_hospitalizations,doctor_visits,symptom_Fever,symptom_Low_grade_fever,symptom_Cough,symptom_Sore_throat,symptom_Headache,symptom_Fatigue,symptom_Vomiting,symptom_Diarrhea,symptom_Shortness_of_breath,symptom_Chest_pain,symptom_Dizziness,symptom_Confusion,symptom_Generalized_tonic_clonic_seizure,percent_ili,ilitotal,num_of_providers,total_patients,total_specimens,total_a,total_b,percent_positive,percent_a,percent_b
202027,2020-07-04,US,US,0,0,,4.49,0.3157142857142857,3.7871428571428574,1.4157142857142857,4.077142857142857,4.28,2.4214285714285713,3.924285714285714,0.7928571428571428,1.3857142857142857,1.6228571428571428,0.24428571428571427,0.15857142857142859,1.27401,17843,2897,1289006,6258,8,5,0.207734,0.127836,0.0798977
202028,2020-07-11,US,US,24,0,,4.795714285714285,0.3314285714285714,3.5485714285714285,1.502857142857143,4.1242857142857146,4.467142857142857,2.4971428571428573,4.0,0.8442857142857143,1.4142857142857144,1.7057142857142857,0.2542857142857143,0.16999999999999998,1.34951,20046,2918,1360798,6322,6,5,0.173996,0.0949067,0.0790889
202029,2020-07-18,US,US,17772,0,,4.82,0.3085714285714286,3.544285714285714,1.5314285714285716,4.1814285714285715,4.401428571428572,2.434285714285714,3.8628571428571425,0.8371428571428572,1.412857142857143,1.6685714285714286,0.24,0.16857142857142857,1.34471,19260,2894,1339726,6176,11,12,0.372409,0.178109,0.194301
202030,2020-07-25,US,US,32791,0,,4.302857142857143,0.26571428571428574,3.3557142857142854,1.4814285714285713,4.1571428571428575,4.341428571428572,2.4457142857142857,3.88,0.78,1.3785714285714286,1.6342857142857141,0.23857142857142857,0.16999999999999998,1.22153,16533,2953,1356301,6042,5,4,0.148957,0.0827541,0.0662032
202031,2020-08-01,US,US,38571,0,,4.132857142857143,0.25285714285714284,3.251428571428572,1.4728571428571429,4.134285714285714,4.258571428571429,2.4314285714285715,3.9771428571428573,0.7471428571428572,1.3728571428571428,1.6128571428571428,0.24571428571428572,0.16857142857142857,1.15258,15524,2992,1349125,6105,3,5,0.13104,0.04914,0.0819001
202032,2020-08-08,US,US,33368,0,,3.8985714285714286,0.2357142857142857,3.1757142857142857,1.4185714285714286,4.0371428571428565,4.247142857142857,2.3714285714285714,4.0371428571428565,0.7042857142857143,1.3485714285714285,1.59,0.2571428571428572,0.17714285714285713,1.0626,14117,2956,1336052,6330,7,4,0.173776,0.110585,0.0631912
202033,2020-08-15,US,US,31656,0,,3.7314285714285718,0.22142857142857145,3.12,1.3771428571428572,3.9857142857142853,4.251428571428572,2.347142857142857,3.85,0.6785714285714286,1.2757142857142856,1.5785714285714287,0.25285714285714284,0.17285714285714285,0.979884,13193,2978,1343895,6120,4,4,0.130719,0.0653595,0.0653595
202034,2020-08-22,US,US,30865,0,,3.575714285714286,0.20285714285714285,3.032857142857143,1.332857142857143,3.89,4.177142857142857,2.302857142857143,3.6814285714285715,0.6542857142857142,1.2328571428571427,1.5371428571428571,0.2571428571428572,0.17142857142857143,0.969202,12952,2930,1346595,6238,6,8,0.224431,0.0961847,0.128246
202035,2020-08-29,US,US,29707,0,,3.44,0.1985714285714286,2.9614285714285713,1.3157142857142858,3.837142857142857,4.1571428571428575,2.2842857142857143,3.654285714285714,0.6485714285714286,1.217142857142857,1.5157142857142856,0.25142857142857145,0.16714285714285718,1.00022,13159,2967,1355839,6443,7,13,0.310414,0.108645,0.201769
202036,2020-09-05,US,US,27689,0,,3.4414285714285713,0.20142857142857143,3.0142857142857147,1.3285714285714287,3.8614285714285717,4.277142857142858,2.3185714285714285,3.692857142857143,0.6657142857142857,1.2742857142857142,1.5400000000000003,0.27285714285714285,0.16999999999999998,0.920817,12316,2921,1340149,6543,7,6,0.198686,0.106985,0.0917011
202037,2020-09-12,US,US,27961,0,,3.4299999999999997,0.19428571428571426,3.108571428571428,1.3371428571428574,3.845714285714286,4.225714285714285,2.2671428571428573,3.6557142857142857,0.6714285714285715,1.23,1.5457142857142858,0.2671428571428571,0.16714285714285712,1.0355,13035,2915,1332779,7059,7,6,0.184162,0.0991642,0.0849979
202038,2020-09-19,US,US,24701,0,,3.5014285714285713,0.19857142857142857,3.204285714285714,1.3599999999999999,3.827142857142857,4.312857142857143,2.2199999999999998,3.572857142857143,0.6857142857142857,1.2328571428571427,1.4928571428571427,0.29285714285714287,0.17142857142857143,0.974333,13049,2943,1365420,8083,14,18,0.395893,0.173203,0.22269
202039,2020-09-26,US,US,24656,0,,3.5242857142857145,0.20857142857142857,3.4057142857142857,1.4142857142857144,3.837142857142857,4.378571428571428,2.2257142857142855,3.5414285714285714,0.6928571428571428,1.2357142857142858,1.4885714285714287,0.2842857142857143,0.17285714285714285,1.06462,14586,2941,1404590,9019,11,9,0.221754,0.121965,0.0997893
202040,2020-10-03,US,US,27242,0,,3.5685714285714285,0.24571428571428572,3.5042857142857144,1.4314285714285713,3.8314285714285714,4.474285714285714,2.3757142857142854,3.4985714285714287,0.6942857142857143,1.6657142857142857,1.4885714285714287,0.30428571428571427,0.17142857142857143,1.09211,16466,3246,1524289,12200,19,21,0.327869,0.155738,0.172131
202041,2020-10-10,US,US,32787,0,,3.8971428571428572,0.26285714285714284,3.8300000000000005,1.5214285714285716,3.91,4.49,2.345714285714286,3.518571428571429,0.76,1.3257142857142856,1.4957142857142858,0.2742857142857143,0.18142857142857144,1.21201,19144,3318,1602667,14924,30,28,0.388636,0.201018,0.187617
202042,2020-10-17,US,US,36373,6,,3.532857142857143,0.22,3.6371428571428575,1.4428571428571428,3.9085714285714284,4.29,2.312857142857143,3.4614285714285713,0.7128571428571429,1.2485714285714287,1.502857142857143,0.2714285714285714,0.18285714285714286,1.11151,17235,3301,1569727,15112,27,26,0.350715,0.178666,0.172049
202043,2020-10-24,US,US,41148,196,,3.5614285714285714,0.22428571428571428,3.7314285714285718,1.4585714285714284,3.94,4.402857142857143,2.2885714285714287,3.4785714285714286,0.7142857142857143,1.2571428571428573,1.5385714285714285,0.26857142857142857,0.18142857142857144,1.18662,18133,3330,1571417,16611,21,21,0.252845,0.126422,0.126422
202044,2020-10-31,US,US,46114,409,,3.5471428571428567,0.22142857142857145,3.822857142857143,1.4742857142857144,3.8314285714285714,4.197142857142857,2.3042857142857143,3.3642857142857143,0.7357142857142858,1.2357142857142858,1.4642857142857142,0.2842857142857143,0.17857142857142858,1.25262,18554,3421,1560158,20552,22,19,0.199494,0.107046,0.0924484
202045,2020-11-07,US,US,55452,450,,3.6228571428571428,0.25,3.8514285714285714,1.5399999999999998,3.801428571428571,3.9585714285714286,2.1928571428571426,3.1671428571428573,0.6685714285714285,1.1942857142857142,1.417142857142857,0.31285714285714283,0.17285714285714285,1.44427,21370,3425,1597645,27187,31,25,0.205981,0.114025,0.0919557
202046,2020-11-14,US,US,69830,574,,3.8842857142857143,0.2671428571428572,4.171428571428572,1.5771428571428572,3.9985714285714287,4.33,2.29,3.3728571428571428,0.7271428571428571,1.2771428571428571,1.5042857142857142,0.27999999999999997,0.18571428571428572,1.48969,22598,3391,1639379,34907,32,44,0.217721,0.0916722,0.126049
